measurement_uid,measurement_start_time,network_type,probe_asn,probe_cc,probe_as_org_name,resolver_asn,resolver_as_cc,domain,input,test_name,top_probe_analysis,top_dns_failure,top_tcp_failure,top_tls_failure,dns_blocked,dns_down,dns_ok,tcp_blocked,tcp_down,tcp_ok,tls_blocked,tls_down,tls_ok,country_name,regime_type,date,blocking_mechanism,is_anomaly,event_label,event_date,event_country,t_day
20250908150617.259471_UG_whatsapp_f8dd0a41b5493b1c,2025-09-08 15:06:09+00:00,unknown,29039,UG,ECHOTEL Proprietary Uganda,15169,US,,,whatsapp,,dns_server_misbehaving,,,0.75,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-08,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,7
20250908074810.240745_UG_whatsapp_f8b2f6e0153ed682,2025-09-08 07:48:06+00:00,unknown,29039,UG,ECHOTEL Proprietary Uganda,15169,US,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-08,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,7
20250907085417.639047_UG_whatsapp_e69113ee23a0f45e,2025-09-07 08:54:07+00:00,unknown,20294,UG,MTN Uganda,20294,UG,,,whatsapp,,dns_server_misbehaving,,,0.75,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-07,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,6
20250905225849.317938_UG_whatsapp_862c452224797443,2025-09-05 22:58:42+00:00,unknown,20294,UG,MTN Uganda,20294,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-05,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,4
20250904214408.221537_UG_whatsapp_b50301a8ae1ba5d4,2025-09-04 21:44:03+00:00,unknown,20294,UG,MTN Uganda,13335,US,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-04,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,3
20250903140543.172586_UG_whatsapp_42d9b20eb5c7eb6b,2025-09-03 14:05:40+00:00,unknown,37063,UG,Roke Investments International Ltd,37063,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-03,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,2
20250903135926.192661_UG_whatsapp_d360400ad0a77603,2025-09-03 13:59:20+00:00,unknown,37063,UG,Roke Investments International Ltd,37063,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-03,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,2
20250903130457.940506_UG_whatsapp_acdc3ffe9eac743c,2025-09-03 13:04:54+00:00,unknown,37063,UG,Roke Investments International Ltd,37063,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-03,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,2
20250903125928.017429_UG_whatsapp_26a9db1e6095a7c9,2025-09-03 12:59:23+00:00,unknown,37063,UG,Roke Investments International Ltd,37063,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-03,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,2
20250903120917.020804_UG_whatsapp_856ff11847b2b2c3,2025-09-03 12:09:14+00:00,unknown,37063,UG,Roke Investments International Ltd,37063,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-03,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,2
20250903120841.424770_UG_whatsapp_1e8c11eb5c6004cf,2025-09-03 12:08:37+00:00,unknown,37063,UG,Roke Investments International Ltd,37063,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-03,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,2
20250903115818.634670_UG_whatsapp_f47634b0cad13bcb,2025-09-03 11:58:14+00:00,unknown,37063,UG,Roke Investments International Ltd,37063,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-03,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,2
20250903113623.717907_UG_whatsapp_078083b99d38d359,2025-09-03 11:36:18+00:00,unknown,37063,UG,Roke Investments International Ltd,37063,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-03,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,2
20250903111349.599719_UG_whatsapp_92205155518a882e,2025-09-03 11:13:45+00:00,unknown,37063,UG,Roke Investments International Ltd,37063,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-03,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,2
20250903110751.559756_UG_whatsapp_f9d59611a96b2765,2025-09-03 11:07:48+00:00,unknown,37063,UG,Roke Investments International Ltd,37063,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-03,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,2
20250903100801.342764_UG_whatsapp_0c93613eab77de3e,2025-09-03 10:07:57+00:00,unknown,37063,UG,Roke Investments International Ltd,37063,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-03,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,2
20250903100046.972205_UG_whatsapp_348d7586b1077484,2025-09-03 10:00:44+00:00,unknown,37063,UG,Roke Investments International Ltd,37063,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-03,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,2
20250902150451.829362_UG_whatsapp_d200f144741da930,2025-09-02 15:04:49+00:00,unknown,37063,UG,Roke Investments International Ltd,37063,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-02,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,1
20250902150257.563694_UG_whatsapp_7110ccd17361c2ee,2025-09-02 15:02:54+00:00,unknown,37063,UG,Roke Investments International Ltd,37063,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-02,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,1
20250902110216.903991_UG_whatsapp_e88add911b429f53,2025-09-02 11:02:12+00:00,unknown,37063,UG,Roke Investments International Ltd,37063,UG,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-02,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,1
20250901141944.871440_UG_whatsapp_0eca27b0a1a7baf1,2025-09-01 14:19:41+00:00,unknown,29039,UG,ECHOTEL Proprietary Uganda,15169,US,,,whatsapp,,,,,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Uganda,authoritarian,2025-09-01,throttled_dns,True,UG_campaign_period_start,2025-09-01,UG,0
